제목	본문
와 서울대 경쟁률 인 학과 있음	제목 어그로인데 수시 넣은애들은 괜히 경쟁률 올라가는거 보면서 셀쿠깨지말고 공부해 지금 네가 올라가는 경쟁률 보며 불안해하는것보다 공부하는게 너한테 훨씬 이득됨 얼른 책상에 앉으세용 
노인한테는 묘하게 친절한 일본 양아치 밈	 
이 나은은 뭔가 신기하지 않냐	논란 때메 좀 그럴 수도 있는데 생각나서보통 미간 좁으면 차갑거나 도도한 느낌 나던데 지젤 지연 나은은 오히려 순한 인상이고중안부 길면 도회적이고 세련된 인상인데 나은은 상큼하고 귀엽잖아뷰티 화장 틴트
근데 스테이씨 광고 배경	다  잘어울림 파스널컬러 잘알 스테이씨 광고 배경 스테이씨 윤 풀뱅 시은 세은 제이 아이사 수민 에이셉 광고 퍼스널컬러 웜톤 쿨톤 봄웜 여쿨 갈웜 겨쿨 여돌 화장 뷰티 추천
이채연 진짜 장난하냐 	덧붙이자면 난 댄서 들이 주목받고 춤추려고나온 프로그램에서 굳이굳이 아이돌연예인 으로 더 주목받겟다고 데리고 나온게 족같단거임스우파의 취지는 댄서들도 주목받게 해주고 댄서들끼리 서로 경쟁하고 춤추는거 보고 리스펙하려고 만든거 아님 근데 또 아이돌 데리고나와서 메인으로 세워두고 댄서들이 또 백업이 됐잖아  이게씹스러운 거야 훅도 마찬가지 버블로 이지랄그리고 메가크루미션 영상에 이영지 최유정 이달소 이브 조카씹스럽네   
별 반응 적고가 봐 얘드라	평화로운 점심시간인데 어떤 애가 교실에 막 달려오더니야운동장에서 이랑 싸워하고 지름창밖내다보니까 진짜 둘이서 몸싸움 오지게 하고있고애들이 주위로 둥글게 싸고 있음네 랑 반응 써방 
스우파 제작진들이 노제한테	헤이마마 안무영상 올리지 말라고 한 거 찐이야 찐이면 엠넷이 이걸 어케 막는거임 안무는 댄서가 짰지 노래를 엠넷에서 만든것도 아닌데 이미 방송 된거라 유출문제도 아닐거아님 
로잘린 말하는 거 이해가는데	리정이 대놓고 저희는 다들 알다시피 그분 팬들이 너무 강력해서 이기기 힘들 것 같아요 하면서 원트가 이기면 실력때문이 아니라 이채연 인기빨로 이기는거라고 얘기하는 동시에 자기 팀원 저격하는데 누가 기분 안나빠하고 넘어갈 수 있음
청와대 방탄 뷔 미쳤다	청와대 뷔 외모 미친 기념으로 쓰는 글 방까들은 나가주세요 태형이 긴장해서 손 리듬타는 짤 구해봐 있는 아미들 부탁해마지막은 눈 동글 태형이멋지다 우리 방탄방탄소년단    김태형  뷔    청와대  
웨이비는 차라리 지금 떨어진 게 나을 수도 있음	웨이비가 제일 약한건 맞잖음 박수칠때 떠나라는말이 있듯이 
헐 이사배가 노제 커버한 거 봄	진짜 뷰티 유튜버중에 독보적 위 롱런하는 이유가 있다커버 제일 잘하고 광고도 거의 안함스우파 노제 립제이 로잘린 허니제이 모니카 리정 이채연
와이프가 사랑하는 사람이 생겼다고 합니다	저는 정말 평범한 집안의 가장입니다 인생을 살면서 화를 냈던 적을 모두 기억하고 있을만큼 화를 잘 내지않는 매우 긍정적이고 건강한 멘탈을 가지고 있다고 자부하고 살아왔던 사람입니다 우리 와이프는 그런 제가 봐도 너무 선량한 사람입니다  이해를 돕기위해 진부한 표현을 하나 빌려오자면 정말 개미새끼 한 마리 못 죽인다는 이미지가 딱 어울리는 여자입니다 유럽으로 장기 출장을 가게 되어 살 아이와 와이프만 남겨두고 개월만에 상봉하였는데 저에게도 이런일이 생길거라고는 상상도 하지 못했습니다 몇일 전에 와이프와 맥주를 마시며 대화하다가 와이프가 저에게 어렵게 꺼낸 말이 나 사랑하는 사람이 생겼어라고 합니다 저는 우리 와이프가 새벽시간에 차선 도로에 차가 없어도 빨간불일때 안 건너고 기다리는 사람이란 것을 잘 알기 때문에 연예인이나 뭐 그런걸로 생각했습니다 점점 이야기를 듣다보니 그게 아닙니다 휴대폰으로 노래를 녹음해서 올리고 평가하고 같은 방에서 라이브로 노래 부르고 대화도 할 수 있는 앱이 있다고 하는데 와이프가 노래 듣는 것을 워낙 좋아해서 아이가 자고나서 그 앱에 들어가서 채팅도 하고 남이 부르는 노래도 듣는다는 것은 알고 있었습니다  출장가기 얼마 전 부터 시작한 것으로 알고 있는데 새벽이 되어서야 잠들거나 아침까지 잠을 안 자기도 하는것을 보면서 위험할 수도 있겠다는 신호는 감지했지만 첫번째는 와이프를 믿었고 두번째는 아이를 혼자 키우면서 우울해 하는 것을 보고 그 정도는 이해해 줄 수 있다고 생각했습니다 결론적으로 와이프는 항상 같이 대화하고 노래를 듣던 한 남자를 좋아하게 되었고 밤늦게까지 매일 대화하며 어느 날 자신의 마음을 그 사람에게 고백했다고 합니다 그 사람이 사는 도시에 애기어린이집에서 제일 친하게 지내던 이사 간 친구가 살고 있어서 그 집에 방문하는 겸 아이를 그 집에 맡겨놓고 그 남자를 만나러 갔고 만난 이유는 마음이 점점 커지는 바람에 만나보고 자기 스타일이 아니면 혹시 금방 마음을 끊을 수 있을까 싶어서 였다고 하는데 심지어는 잘 생겼었다고 합니다 만나서 둘이 술을 마시다가 시간을 보니 택시를 타고 돌아가면 새벽 시가 될것 같아서 애기친구집에 민폐가 될 것같아 둘이서 호텔에 갔고 자기가 찾아왔는데 숙박비를 나눠서 내는 것이 싫어서 한 방을 잡았고 손도 안 잡고 다른 침대에서 새벽까지 이야기하다 잤다고 하네요 오해하실 수도 있어 이야기 드리자면 저는 손도 안 잡고 잤다는 말을  믿습니다 어쩌면 그렇게 믿는편이 상처를 덜 받기 때문에 제가 의심을 하지 않기로 결정했는지는 모르지만 때로는 모르는 것이 더 나을 때도 있다는 걸 인생살면서 배웠거든요 사실이냐 아니냐는 저에게는 중요하지 않으니 그에 대해서는 왈가왈부 해주지 않으셨으면 좋겠습니다 호텔에 가게 된 경위 한 방을 잡았다는 심리는 무척 괘씸합니다만 제가 지금 고민에 빠져있는 것은 과거가 아니라 미래입니다  누구에게 말 할 수라도 있으면 좋은 조언을 듣지 못하더라도 말하는 자체로 스트레스가 풀릴텐데 와이프의 외도와 관련된 문제라 이혼하기로 결정하지 않는 한 친구에게도 엄마에게도 장모님에게도 말 할 수가 없습니다 출장에서 돌아와 가족들과 재회한 행복은 일주일만에 눈물로 바뀌어 버렸고 하루종일 웃지도 않고 회사에서 다른사람과 대화 중에도 계속 그 생각이 납니다 하루에 번도 넘게 한숨을 쉬고 눈을 감으면 눈물이 고일것 같습니다 출장 가기 전 우리 부부사이는 나쁘지 않았다고 생각했는데 저의 착각이었나봅니다 결혼한 다른집과 비교했을 때 우리 사이는 평균 이상이라 생각했고 매일 한번 이상씩 포옹하고 표현도 자주 했다고 생각했으며 예쁘다는 말도 자주 했고 실제 객관적으로 봐도 정말 예쁜 여자입니다 부부관계는 적어도 주에 한번은 했었습니다 그런데 와이프는 저의 사랑을 느끼지 못했다고 하네요 부부간의 대화가 부족했었습니다만 일주일에 한 번씩 가족회의를 열자고 했다가 몇주 안 가 안 하게 되기도 했고 일주일에 두 번씩 둘이서 맥주 먹는 날을 만들자고 했다가 술 먹기 싫다고 거절당하기도 했습니다 속이 터지지만 여기까지는 이해할 수 있습니다 경솔했던 행동을 후회하고 미안했다 다시는 이런일이 없을 것이다라고 하면 지키고싶은 것들이 있기 때문에 그냥 없던일로 하고 넘어가고 싶습니다  미칠 것 같은 부분은 지금부터입니다 그 친구를 아직도 사랑한다고 합니다 연락처를 지우고 톡을 지우고 앱도 모두 지웠는데 그 사람을 잊을 때까지 옆에서 위로해주고 기다려달랍니다 직접적으로 그렇게 해달라고는 하지 않았는데 제가 대화 중 와이프가 그 사람때문에 우는 것을 보고 소리를 질렀더니 넌 여전히 내 마음을 이해 못해주잖아 그럽니다 너가 그 사람 때문에 슬퍼하면 난 미친듯이 화가난다 너가 그 사람 때문에 행복해하면 반대로 난 세상에서 가장 슬픈사람이 되어있을거다라고 이야기하고는 들고있던 전자담배를 부러뜨리고 싶을 정도로 화가났습니다 그걸 공감해 줄 수 있는 남자는 어디에도 없다고 하니 있다고 합니다  와이프가 미쳤다는 것은 잘 알겠는데 문제의 이 남자는 와이프보다 살이 작고 여자친구도 있으며 우리 집에서 시간이 걸리는 곳에 살고 있습니다 날 버리고 그 남자에게 가는 것이 거의 불가능하다는 것을 지도 잘 알고 있다는 점이 더 날 미치게 합니다 와이프와 대화하면서 제가 했던 말인데 임자가 있는 사람은 모두 선을 지키면서 살고 있고 파란선이 있고 빨간선이 있다 내가 다른사람에게 이성적인 호감이 생기기 시작한다는 것은 파란선을 넘은 것이니 다시 선 뒤로 돌아갈 노력을 시작해야하고 무사히 돌아왔다면 그것은 상대방에게 보고할 필요도 없고 자연스러운 현상이니 미안해할 필요가 없다 너가 호텔에서 한방을 잡은 것은 빨간선을 이미 넘은 행위이고 돌아오더라도 죄책감을 느껴야한다 그런데 별로 미안해 하는 것 같지도 않고 똑같은 상황에서 똑같이 행동할거나고 하니 그렇다고 합니다 제가 과거는 없었던일로 할 수 있다 똑같이 행동하겠다는 것은 미래가 보장되지 않는 것이고 미래가 보장되지 않는다면 나는 이혼해야 한다고 생각한다고 이야기했더니 다음날 겨우 미안하긴 하지라는 엎드려 절받는 사과로 응답합니다  나도 파란선은 넘은적이 몇번 있었고 회사나 친구들과 술자리에서 여자를 불러서 논 적도 종종 있었기 때문에 샘샘으로 생각하는 것이 논리적인데 머리와 마음이 따로 놉니다 출장지에서 그렇게 보고싶었던 와이프가 쳐다보기도 싫습니다 아침에 출근할 때 자고있는 와이프와 아이를 양치질하며 한컷에 바라보는게 내 최고의 행복이었는데 지금은 그 컷에 와이프가 들어가 있으면 행복감이 느껴지지 않습니다 어떻게 해야할까요 저는 결혼생활을 이어가는 것을 선호하는데 여러분들의 의견을 듣고 위로 받고 싶습니다 누구에게도 말 할 수 없으니 정신과에 가서 의사에게라도 이야기해 볼까라고도 생각했는데 여기에 올려보는 것도 괜찮은 생각일 것 같아 장문의 글을 올립니다 읽어 주셔서 감사합니다 아픈사람에게 추가적인 상처는 주지 않으셨으면 좋겠습니다 추가여러분들이 많은 댓글을 남겨주셔서 정말 많은 위로가 되었습니다 저에게 책임이 있다는 말씀들과 끼리끼리 논다는 말씀들은 제가 와이프를 더 이해해줘야 하겠다는 좋은 자극제들이 되었고 제 편을 들어주셔서 당장 이혼하라는 말씀들은 단순 심정적으로 큰 위로가 되었습니다 다만 제가 저의 잘못한 부분들을 굳이 적어놓은 것은 쌍방 의견대립에서 양측의 진술이 크게 달랐던 경험이 많아서 객관적인 판단을 돕기위해 제가 잘 못한 부분을 적어놓은 것입니다 저는 성매매는 물론이고 접촉조차 한적이 없었고 우리 와이프가 회사나 높은 어른들이 있을 때 그런 곳에 갈 일이 있으면 미리 전화해서 알리고 나서 가도 된다라고 했기에 파란선이라 표현했던 것인데 사회적으로도 많이 비난받을 일이라는 것을 느꼈고 자기합리화 하지 말고 더욱 적극적으로 거절해야겠다는 생각을 했습니다 글을 읽는 많은 분들을 불편하게 해 드려서 정말 죄송합니다 후기와이프에게 어디에 글을 올렸다는 것을 알리지 않고 한 사이트에 쓴 글이 댓글이 개 정도 달렸는데 끼리끼리 잘 만났다는 의견이 대부분이라고 말 해 주었고 베스트 댓글과 와이프를 비난하는 쪽 저를 비난하는 쪽의 댓글을 순한 맛으로 골라 몇 가지 읽어주었습니다 그 중 가장 인상깊었던 것을 읽어주었는데 와이프가 그렇게 말한 것은 나를 좀 더 사랑해 달라 나를 여자로 봐달라는 과격한 시위가 아닐까라는 대목에서 와이프가 참지 못하고 엉엉 울음을 터뜨리더군요 와이프가 감성적이긴 해도 감정 기복을 겉으로 드러내는 편이 아닌데 그런 모습을 보니 더 이상 사과 같은 건 필요 없었습니다저도 댓글을 보며 느끼는 바가 많아서 더 이상 자존심을 세울 필요도 없어졌습니다주 정도 지난 지금 우리는 매일 맥주를 마시면서 대화를 나눕니다 퇴근하고 나서 자발적으로 청소도 하고 설거지도 합니다 주말은 한번밖에 보내지 않았지만 주말에 세끼 밥도 해주었습니다 아이가 아직 너무 귀여울 때라 놀아주는 것도 즐겁습니다아빠가 좋아하는 레고나 자전거 축구 같은 거 위주로 놀아주긴 하지만요 출장 가기 전과는 달리 아이가 아빠 언제 오냐고 계속 물어본다고 합니다 심정적으로 힘들었을 때는 아이와 진심으로 놀아주기도 힘들었었는데 지금은 아이랑 엄마에게 장난도 칩니다 아무튼 우리는 지금 예전 관계를 회복하였습니다 응원해주신 분들 쓴소리 해 주신 분들 모두 진심으로 감사드립니다 다만 소설을 쓰신 분들께는 한 말씀 드리고 싶습니다 지금까지 어떤 믿을 수 없는 사람들을 만나 오셨는지 모르겠지만 우리 와이프가 어떤 사람인지를 가장 잘 아는 사람은 접니다 와이프의 행동은 이해할 수 없었던 지언정 사실관계의 진술은 완전히 신뢰합니다 또 앞으로도 제가 변하지 않는 이상 같은 일이 발생하지 않을 것이라 믿을 수 있게 되었습니다 고맙습니다 여러분 
아이 어린이집 보내는 어 머님들	아이 어머니들이 많은 채널이라 여기에 글써요백신 휴가로 겨우 하루 쉬게되니 지난 학기가 주마등처럼 지나갑니다저는 국공립어린이집 만 세반 담임을 맡고 있어요 통합어린이집이라 작년엔 장애통합반이 있는 위에 반 일반 아동 담임도 했지만 올해는 정말 최악이에요코로나 베이비로 자란 아이들이다보니 정말 놀랄만큼 이직한 동료 등등을 물어봐도 공통적으로 발달이 쳐졌어요 마음아픈 일이지만 직업이 직업인지라 그만큼 난이도가 올라가 늘 긴장상태입니다 제가 좀 고생해도 아이들이 성장하는 모습을 보면 나름의 보람도 있고요문제는 저희 반에 자폐 성향 아이가 둘 있다는 건데요 두 가정 어머니들 반응이 너무 다릅니다한명은 정말 어머니가 말씀 안하셨으면 단순 발달 지연에 좀 산만한 친구인가보다 했을 정도인데 작년부터 언어치료 놀이치료 인지치료 응용행동발달 뭐더라 그 치료도 받는다는데 그래서 매일 오후 세시 반이면 하원했었어요폭력성향 없고 식사나 자조도 그냥 반 아이들 하는 만큼 하고 순해요 애교도 많아서 잘했어 하면 부끄러워하면서 와서 교사를 안아주거나 자기 볼에 뽀뽀해달라고 볼을 내밀면서 씩 웃어요그냥 말이 잘 안되어서 수업이 조금 어렵긴 한데 그래도 모방을 잘해서 교사 말 알아먹은 애들이 하는거 보고 따라하면서 곧잘 놀아요 물론 말로 이해해야하는 규칙에서는 응 하는 표정이다가 억울해서 울기도 하지만 이정도쯤이야 정상발달아이들 사이에서도 너무너무 흔해요친구도 좋아하는 편이라 미숙한 상호작용이긴 해도 자기가 놀던 장난가 같이 가지고 놀자고 친구한테 들고가거나 과자먹는데 다먹은 친구가 맛나겠다 하면 먹여주고요그런데 학기 초 상담에서 말을 잘 못하고 상호작용 수준이 낮아서 두돌 전부터 추적검사 대학병원 검사 다 하면서 발달 수업 다 들려주고 있다고 당장은 고기능 자폐 의심에 언어발달지연이라고 하시면서 아이 특이사항이랄것도 없지만 등등 알려주시고 혹시 문제행동 나오면 가정에 꼭 알려달라 하시더라고요아이러니한건 제가 글을 쓰는 이유가 되는 다른 자폐 의심 아동이에요 얘는 의심이 아니라 확신이에요 통합반에서 자폐 아이들 적지 않게 봤는데 그 행동 그대로 다 있어요호명 전혀 안되고요 눈맞춤 없고요 자동차 뒤집어 바퀴만 굴리고 굴러가는걸 눈 가까이 대고 몇시간이고 보려고 들고 제가 휴가인 날 대체 교사샘이 말리다가 자동차에 찍히고 물어뜯기고 발로 차이고 하셔서 진짜 병원가셨어요 인대 쪽 진단 나왔고 일주일 못나오셨어요 이 친구는 만세반인데 체중이 키로 한참 넘어요 친구랑 평행놀이도 불가능 다른 누가 다가오면 괴성지르먄서 고개 털고 손가락 피아노치듯이 하면서 눈가에 가져다 보고 까치발에 걷는거 미숙 뛰는거 불가 점프 불가 생일이 느린 친구도 아니에요 이미 세돌 전에전에 지났어요자조 전혀 없고 기저귀에 똥싸면 손넣어서 주물럭거리고 다른 애들한테 닦거나 벽에 닦아서 울고 앞서 말한 다른 자폐의심아동이 얘한테 똥칠당하고 지지라고 말하고 울면서 교사 손끌며 화장실 가서 닦아달라 할 정도 밥도 밥이 밥인줄 몰라서 못먹고 좋아하는 고기반찬 나오면 거의 눈 뒤집어져서 배식통 끌어안고 거기에 손넣고 자기가 맨손으로 집어먹겠다고 난리치다 못하게 하면 선생님들 다 물어뜯어요덩치는 정말정말 초등학생이라해도 믿겠고 힘은 겪어본 적 없는 힘이에요 다칠까봐 어른들이 힘을 제대로 못쓰는 것도 있지만 정말 어른 네다섯이 붙어도 다 멍투성이그나마 다행인건 그냥 상동행동이나 자기자극 하는거 내버려두면 몇시간이고 구석에서 혼자 놀아요 저도 교육적 자극 해주고 싶은데 여력이 없어요 제가 거기 가면 다른 애들 다 방치인걸요이러다보니 학부모들 항의가 줄을 이었어요 이 두번째 친구는 치료 전혀 해본 적 없고 검사받아보시라하니 아이 아빠가 여덟살에 말했는데 그래서 그런가보다고 막 웃으세요 폭력행동 주의부탁드리면 나중에 강호동 되는거 아니냐고 학기말에 아이 사인 주신데요 진짜 진리입니다 아이랑 어머니 세트설결국 말이 안통하니 원장님이 나섰는데 그 과정에서 전체학부모 상담을 하다가 원장님이 실수를 좀 하셨어요 첫번째 아이 어머니께도 사실 반 아이들이 자폐성향 있는 친구들이랑 같이 보육받다보니 힘들어한다고 말씀을 하신거죠첫번째 아이는 정말 너무 순진하고 순하고 애교쟁이에 응용이나 확장능력도 뛰어나서 지능은 정말 높아보였고 조심성도 많아서 정상발달 아이들 그러니까 말 안느린 애들 대비 말만 느리지 다 괜찮은 친구에 외모가 굉장히 뛰어나서 그 친구 좋아한다고 주변 맴돌며 돌려는 친구들 늘 많았어요그런데 그런 말씀을 들으니 어머니가 폐를 끼쳐 죄송하다 하시고 고민해보시겠다 해서 원장님이 검사를 권하면서 외부 수업 현황이라던가를 들으시다가 아 이집이 아니구나 싶어서 착각했다고 친구는 굉장히 잘한다고 나중에 계속 걱정이시면 위에 반 진학 할 때 장애통합반 해주신다 했는데 그 다음주로 퇴소의사 밝히더라고요 장애전담어린이집으로 옮기고 놀이학교랑 발달교실 짝치료 스케쥴 잡으셨다고요통합반 선생님께 들어보니 그렇게 돌리려면 정말 월에 돈 천 나간다해서 너무 죄송스럽기도 하고 아이가 절대 그정도 상태가 아닌데 싶어서 또래 모방도 잘하고 자극도 받고 괜찮다 했지만 아니라고 자기가 너무 그간 안일했다고 어머님이 딱잘라 말씀하시고 감사했다고 하시더라고요 이 친구가 퇴소할때 짐 챙기는데 너무 눈물났어요 마지막날에 저한테 와서 엄마 선생님을 못해서 하고뽀뽀도 해주고 안아도 주고 앞에서 춤도 춰주는데 아 원장님도 원망스럽고 너무너무 보고싶을 친구였어요 가끔 아침에 젤리 주머니에 숨겨와서 다른 친구들 못보게 저 구석에 데려와서 앞치마 주머니에 젤리 넣어주던 친구인데 너무 빨리 가버려서요  이런 친구도 자스인가 혼란스럽던 와중 문제의 두번째 친구 원장님 상담하시다 얼굴 붉히시며 팩폭 던지시며 자폐만 있을지 지적도 있을지 등등 빨리 검사하시고 개입하셔야 그래도 좀 낫다 하셨는데 왜 애플이 나오고 주식 천재 누구가 나오나요 그 사람들도 다 자폐인데 대성했다고 남과 같으면 남들처럼밖에 못산다고 너네가 획일화된 교육 속에서 천재를 못알아본단 식이에요 농담같으시죠 진담이십니다 그래도 언어 느린건 맞으니 최소 언어치료라도 하시라고 바우처로 소액만 부담하시면 수업 받을 수 있으니 도와드리겠다해도 거절  치료비 쓸거 있으면 외식하고 여행가시겠데요 오죽하면 원장님이 첫번째 아이 치료받는 센터 받은 검사 물어보시고 추천해드려도 그집은 여유가 많네 그집은 아파트 살죠 부모 직업이 뭘까요 끝 그집은 형편이 좋아서 그냥 오바해서 쓴다는논리결국 보조교사 하나 더 들이신다던 원장님 보조교사샘들 그 친구한테 물어뜯기고 정말 일과시간 중에 앰뷸런스로 병원가는 사례가 나올 정도가 되니 퇴소 요청했는데 민원올라가고 죽겠어요다른 학부모들이 견디다 못해 같이 민원쓰고 다친 애 진단서 보내고 하다가 결국 몇몇분들은 외부 강사인지 누구 고용해서 집집이 돌아가며 공동보육하신다는 것 같은데저도 진짜 퇴사하고 싶어요 접종하려고 팔 내리니 애가 물어뜯고 할퀸 자국들에 의사 간호사 전부 놀라고 직업 듣고도 갸웃하세요도대체 왜 멀쩡한 친구가 가고 아닌 친구는 죽자고 버텨서 다 죽을 판이 되는지 이해할 수 없고 속상해요
로제 이 거 눈 위에 줄 그은 거 유행이야	되게 유니크하다
정우랑 카리나 버블  겹침 	 
근데 로제 홈마들은 뭐하는 데	멧갈라고 코첼라고다 따라다님특히 이시국에 뉴욕행 
스우파 엠넷도 어 지간히 미안 했나 봄	상금 만원 추가함원래 상금 없었던 거 미쳤네 
스우파 메가 크루미션 영상 좋아요 어디 누름	영상 떴어 댓글 남겼엉 댓글 많이 남겨줭 너무 궁금하다 서치 스우파 스트리트 우먼 파이터  원트 웨이비 프라우드먼 코카앤버터 홀리뱅 훅 라치카 메가크루션 투표 
 테스트 결혼 유형 재밌네	최근에 다양한 가 또 나오는거 같음  성격 유형만 하다가결혼유형도 있는데 재밌음 저  나왔는데 결혼유형은 루벨라이트 전 가식이 없는 쿨한 사람입니다 컴온결혼유형테스트 해보기  클릭  
년 전 지민 민아 사태 예언가	이거 년전에 올라온  신지민 권민아 사주풀이 영상인데 너무 소름돋아나만소름돋냐대충 몇개만 정리 해보면 민아는 어딜가나다른그룹 문제일으킬 사주다  여러분은 지금 민아편을 들겠지만 나중엔 진실이 공개되면 다 지민편을 들게 될 것이다 사람들 너무 웃기다 아무래도 지금 민아가 피해자인것처럼 나와서 여러분은 약자인 민아편을 들겠지만 저는 사주만보고 지민편을 들게된다 민아는 연습춤노래등을 잘 안 하는 사주다 지민은 책임감이 강한 사주다 그에 따른 불화가 일어난 걸로 보지 괴롭힘은 아니다 민아는 남자문제를 일으킬 사주다 지민은 겉으론 강해도 속으론 정이 많고 여리며 츤데레같은 성격이다 앞에선 강하게 말하고 뒤에서 챙겨주는 민아는 짐인 사주다 민아는 정상적인 직업을 못갖는다 민아는 흑색같은 사람 지민이 성격이 쎄긴 한데 천상리더사주다 민아는 여자뿐만 아니라 남자들도 힘들어한다 지민과 민아는 남자 취향이상형이 비슷할 수 있다 민아는 귀신을 잘 보는 사주다 
남자친구 주식이 물렸어요  어떻게 해야 할까요	이년 반째 연애중인 커플입니다남자친구는 살 저는 살 이구요결혼을 해야하는데 남자친구의 주식 때문에 글을 씁니다년전 저와 만나기전 모은돈 억 주식 투자 억은 대출  물타기 하려고 대출 받았다네요현재 손실  너무 큰 금액이라 놀랬지만 다시는 안한다는 조건으로 주식 팔기까지 기다려주고 있습니다 손실이 커서 차마 팔라고 할수도 없네요저는 년차 직장인으로 결혼자금어느정도 돈을 모았고요남자친구는 주식 외 오피스텔억정도 소유중입니다주식 대출이 있기때문에 차마 그 상태에서는 결혼을 못하겠습니다  주식이 망할수도 있고요 불안정한 미래가 너무 싫어 결혼 얘기를 꺼내지도 말라고 하고 있는데 기다리다 지치네요그것 말곤 남자친구 사람 자체는 너무 좋습니다이런 사람을 또 만날수 있을까 싶을 정도로 좋아 헤어져도 미련이 남을거 같아요언제까지 기다려야 할요둘다 결혼 적령기인데 이게 뭔지 모르겠습니다여러분이라면 어떻게 하실까요 
어제 룸 메가 들어오는 것 같길래 장난치려고 이불 밑에 숨어 있었는데	 
인기 동영상 올라갔어 	에이티즈 뮤비 인기동영상 축하해 축하해 축하해건강하게 활동 하기 화이팅 
이마트 트레이더스 시민의식 좀 봐요 	좀전에 선물세트사러 이마트트레이더스 군포점 들름 깨끗하고 친절한데 늘 카트정리도 잘 되어 있어서 이쪽 지역살다가 타지역으로 이사갔지만 월회정도로 애용함장본물건들 차에 실으러 걸어가면서 어떤 정신나간 아줌마가 카트를 자기 편한데다 그것도 주차장 주행로에다 두고 감 뻔히 카트놓는장소 어딘지 알면서 한명한명 그냥 저 장소에 놓음 나는 원래 저런거 싫어해서 내카트는 멀리있는 카트수거장소에 남편이 놓고오는동안 누가 저기에 두고가나 제정신인가 쳐다보고있었는데도 그냥 두고 감 가장 마지막에 나간 새댁같으신분은 내가 차에 안타고 서서 보고있으니까 쭈뼛거리면서도 그냥 놓고 감 사람이라 배우고 잘못된걸 고치는겁니다 아이들도 키우셔야할분들이 제발 모범좀 보입시다 카트정리하는 내동생같은 알바도 아버지같은 어르신들 욕먹게하지말라는말입니다
아무거나 짤털	댓글로 더 풂 저장공간 부족
남편 시댁 욕해주세요	아기부터 생겼고 코로나로 식 미뤘고 혼인신고하고 아기태어난지 일 넘었어요시댁은 차로 분 거리 친정은 차로 분 거리입니다시부모님 애 보고싶다고 이 시국에 한달에 번번 정도로 오셨었어요저희 친정부모님은 오시라고 해도 코로나 때문 혹시 폐 끼칠까 단 한번도 안오셨습니다 남편이 이번 추석때 지네집 가서 박하고 저희집은 용돈보내드리자네요제가 왜우리집도 가야지 했더니 멀기도 멀고 애 면역력이 어쩌고 저쩌고  하길래니네집은 가면 코로나 안걸리고 우리집 가면 코로나 걸리냐고  했더니얼굴 빨개지면서 화참는지 어쩐지 그럼 가자고 근데 니네집은 어쩌고 또 지랄하길래나 원래 우리집도 갈 생각 없었다 근데 니 말하는게 어처구니가 없어서 그렇다고 시부모님은 이시국에 애 생각안하고 문지방 닳듯이 드나든건 생각도 안하냐고 막 따졌어요다시 생각해도 열받네요 그래서 아무튼 이번엔 양가 안가기로 했습니다
